freq	lex	sub
-190.581141538	-314.783693058	-233.055459124
-214.823157573	-318.830167274	-251.94439974
-267.203714378	-301.833223183	-247.115233643
-191.036907399	-301.018863941	-235.645794557
-223.33419791	-323.680587735	-256.346698417
-213.984561312	-276.529111331	-211.890496397
-211.135355874	-294.45070204	-234.8860233
-197.297766972	-298.719769276	-253.373241551
-252.530337877	-386.763470363	-302.048214805
-206.925193312	-323.107925552	-244.18945399
-192.031739167	-314.315113291	-235.373748102
-222.253070822	-293.918963917	-211.097895592
-227.276485244	-281.704723297	-231.451992589
-209.715665392	-292.5419335	-245.088915802
-212.98022809	-319.930351274	-247.540034368
-241.229684652	-318.844854275	-244.135059627
-200.824582361	-297.2423187	-226.216651156
-176.515733008	-287.477074457	-242.115952783
-201.918245097	-343.405307316	-260.223383246
-212.122784804	-288.6042593	-231.146960437
-237.289686159	-343.303305979	-268.183920706
-193.603445735	-297.713943446	-232.77844598
-155.214523476	-266.219812935	-236.176221496
-177.806983472	-291.67076875	-229.253529075
-227.734004655	-288.287119493	-247.926530852
-220.580480618	-366.264981768	-273.198745954
-169.53882628	-278.851944564	-215.177128513
-233.461742549	-302.162153989	-240.921313119
-185.872108287	-295.788623268	-238.801603901
-187.967519926	-289.736803823	-227.866740357
-206.015970776	-329.844996716	-262.276276069
-246.562416732	-324.427909981	-253.550286519
-215.719818122	-300.766224495	-259.820428197
-217.636101482	-335.789822049	-242.628679237
-185.945397747	-315.684804947	-262.245355317
-206.805222725	-281.506363498	-224.791406567
-212.202335858	-311.727397284	-259.699999815
-210.467349619	-327.908929484	-243.623890014
-209.411192791	-362.126692253	-289.591504045
-180.587042665	-300.906018015	-245.554430094
-176.973306571	-305.262416334	-254.540842829
-196.113350002	-311.697618307	-209.029981368
-217.515534968	-304.192473753	-224.150009722
-226.543179001	-328.193741536	-245.311041391
-194.321558235	-302.32931323	-238.579172665
-177.650981476	-306.232785029	-253.947848499
-211.080619544	-293.891731641	-218.794444508
-220.155705387	-310.030326683	-239.838457532
-197.667016323	-302.25002775	-232.858377687
-252.669744157	-335.815328264	-247.081739607
-220.827647626	-298.694004192	-239.270518209
-221.989734968	-324.099358661	-248.88715275
-219.552797656	-311.126108444	-244.611635414
-223.691671232	-284.448913165	-206.825422793
-189.815092902	-316.304588832	-248.706421401
-230.962489775	-344.029646646	-258.789160505
-235.474091612	-333.201352647	-266.610838839
-232.172403668	-339.178340043	-254.306921841
-234.269644408	-342.760953974	-272.019032535
-228.696365804	-323.196205428	-254.513539388
-238.187179511	-312.818881317	-252.829281869
-234.203703019	-319.888820923	-266.035295164
-232.88940065	-314.839659579	-218.222408546
-227.096050622	-290.329925078	-230.517015789
-267.896288889	-308.555030272	-247.642052749
-162.046545095	-278.470011731	-225.704855547
-281.964237037	-320.714480069	-281.808877401
-239.17239017	-314.412815179	-241.280912311
-177.317323673	-310.762735276	-241.109104827
-225.525438293	-313.533835857	-223.388736594
-222.469004512	-335.199852432	-230.625735071
-273.994928875	-333.987194023	-261.066094906
-194.298759882	-261.678527241	-247.148164728
-190.647899083	-342.726646253	-268.952184794
-174.729275134	-326.402294911	-256.193682068
-194.052455469	-289.55969848	-216.486879599
-213.089635469	-317.498821722	-246.083344204
-208.043655017	-282.297634645	-238.185060359
-272.055678382	-343.92756159	-282.28340424
-237.920960044	-294.378416776	-256.572243555
-186.935356443	-319.443312974	-242.630189421
-197.232250064	-312.998154261	-252.973404728
-229.341031899	-295.848145716	-229.397141385
-218.529085657	-291.461854145	-237.154109099
-245.093953498	-373.523161513	-266.39497877
-252.499606298	-339.709614302	-252.535476365
-144.267740443	-281.067633515	-226.347418616
-204.278199612	-313.60506125	-237.233771376
-178.004193656	-298.160618735	-250.093723038
-248.371794924	-335.920667655	-263.888637719
-204.910045587	-282.680543105	-236.839863389
-221.870138762	-316.53423406	-254.153441438
-223.849040911	-295.853957214	-221.128673516
-186.364151363	-315.212839342	-260.251328229
