freq	lex	sub
-721.06207941	-576.790279187	-724.972750458
-793.575051271	-535.574334433	-703.00780668
-766.283048609	-524.882270892	-643.29673853
-701.849513363	-561.25787233	-707.610654339
-640.365885316	-513.379889338	-698.886041335
-765.176755297	-523.474778851	-659.957660683
-713.678834408	-546.720601435	-707.313305392
-757.415483949	-587.860716892	-715.605454232
-661.596208197	-555.979324195	-699.589977619
-704.959107172	-535.380114632	-667.980727655
-609.382686898	-542.574332761	-692.68339617
-722.367568834	-578.179765161	-715.065005584
-699.330880548	-518.246745257	-691.775874299
-767.129600611	-595.911039973	-710.941734639
-673.902906609	-529.524892618	-669.055750656
-765.208399653	-553.318392697	-691.211769652
-812.374292068	-552.824505492	-702.512876404
-742.724282805	-580.96929348	-727.994508889
-657.125559151	-527.935097508	-697.105589845
-741.22435167	-568.540700259	-661.507030989
-695.265438495	-557.060431918	-732.483157354
-672.906882549	-547.184310637	-698.083869681
-722.959041398	-554.297045811	-725.303828756
-619.730279877	-527.472289577	-709.643321303
-706.702906469	-528.468319263	-721.302087861
-683.76231033	-517.62221821	-674.769707765
-803.330289271	-586.716975484	-705.573963998
-737.584218366	-636.64058346	-716.454142166
-729.025355244	-540.126595923	-749.575331054
-762.414686971	-549.394806432	-699.85450417
-735.221053872	-578.435591367	-717.103987064
-793.522601282	-553.819912958	-727.688811341
-700.902923265	-535.722663947	-679.959674159
-733.877651046	-549.593094044	-684.676924671
-687.402498814	-550.973758915	-697.627911386
-669.405002141	-557.21405574	-704.809420179
-785.265375378	-553.552400659	-722.323687929
-767.284280468	-536.583053766	-708.171615202
-708.491191265	-570.852230419	-695.323413685
-696.006862197	-517.623273361	-676.797966452
-746.815148094	-556.795794913	-741.551200316
-718.68474241	-548.609578383	-713.677739727
-717.255258693	-503.787181333	-674.096988232
-634.860745537	-517.239963731	-684.022472549
-624.051436631	-524.011525055	-680.847931808
-788.603621297	-557.978128432	-707.633429181
-747.601472566	-511.199094763	-681.859519236
-813.481079477	-542.360077774	-716.586527556
-824.234533317	-566.845979422	-674.562080307
-756.366554084	-542.498754052	-674.786968631
-812.833758265	-535.970137844	-696.128235083
-686.788321037	-523.821836941	-650.444650382
-697.416520404	-492.831387659	-656.243472478
-754.864305918	-534.550567996	-713.468816954
-660.848216179	-549.190839113	-676.660666733
-726.365703863	-567.860743458	-685.758156921
-685.999329455	-560.089258414	-716.348409231
-721.04644525	-559.821375537	-701.017515014
-695.852533819	-554.150453071	-721.701005173
-752.768528932	-508.960358022	-676.128187114
-789.9131217	-540.962095283	-685.390285739
-687.204609823	-527.374316851	-680.036748064
-760.198419509	-579.584605282	-698.031550034
-675.886380343	-536.377854799	-696.432267723
